Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Nif11-like leader peptide family RiPP precursor [Microcystis aeruginosa],Microcystis aeruginosa,NA,1126,96.4,96.4,98%,3e-23,33.33,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_149976196.1?report=genbank&log$=prottop&blast_rank=84&RID=2AYZ3C4E016"",""WP_149976196.1"")"
Nif11-like leader peptide family RiPP precursor [Microcystis aeruginosa],Microcystis aeruginosa,NA,1126,96.4,96.4,98%,3e-23,28.32,122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_104395451.1?report=genbank&log$=prottop&blast_rank=85&RID=2AYZ3C4E016"",""WP_104395451.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Nostoc],unclassified Nostoc,NA,2593658,95.6,95.6,98%,3e-23,32.73,114,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_185587420.1?report=genbank&log$=prottop&blast_rank=86&RID=2AYZ3C4E016"",""WP_185587420.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. UW105],Synechococcus sp. UW105,NA,337067,94.8,94.8,96%,4e-23,26.32,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_115121147.1?report=genbank&log$=prottop&blast_rank=87&RID=2AYZ3C4E016"",""WP_115121147.1"")"
Nif11-like leader peptide family RiPP precursor [Cyanothece sp. BG0011],Cyanothece sp. BG0011,NA,2082950,95.6,95.6,98%,4e-23,36.70,111,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_107668002.1?report=genbank&log$=prottop&blast_rank=88&RID=2AYZ3C4E016"",""WP_107668002.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. MEDNS5],Synechococcus sp. MEDNS5,NA,1442554,95.2,95.2,94%,4e-23,25.81,99,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186583659.1?report=genbank&log$=prottop&blast_rank=89&RID=2AYZ3C4E016"",""WP_186583659.1"")"
Nif11-like leader peptide family RiPP precursor [Microcystis sp. LEGE 08355],Microcystis sp. LEGE 08355,NA,1828687,96.0,96.0,98%,4e-23,30.97,122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_193960755.1?report=genbank&log$=prottop&blast_rank=90&RID=2AYZ3C4E016"",""WP_193960755.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. PROS-7-1],Synechococcus sp. PROS-7-1,NA,1442556,94.4,94.4,94%,5e-23,27.96,85,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186597441.1?report=genbank&log$=prottop&blast_rank=91&RID=2AYZ3C4E016"",""WP_186597441.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Prochlorococcus],unclassified Prochlorococcus,NA,2627481,95.6,95.6,85%,5e-23,28.24,122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_081939901.1?report=genbank&log$=prottop&blast_rank=92&RID=2AYZ3C4E016"",""WP_081939901.1"")"
Nif11-like leader peptide family RiPP precursor [Microcystis aeruginosa],Microcystis aeruginosa,NA,1126,94.8,94.8,100%,6e-23,29.41,102,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_110580158.1?report=genbank&log$=prottop&blast_rank=93&RID=2AYZ3C4E016"",""WP_110580158.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sp. CENA543],Nostoc sp. CENA543,NA,1869241,95.2,95.2,98%,6e-23,30.91,117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_103138322.1?report=genbank&log$=prottop&blast_rank=94&RID=2AYZ3C4E016"",""WP_103138322.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. UW179A],Synechococcus sp. UW179A,NA,2575510,94.4,94.4,93%,7e-23,23.91,96,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_114991967.1?report=genbank&log$=prottop&blast_rank=95&RID=2AYZ3C4E016"",""WP_114991967.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. UW179A],Synechococcus sp. UW179A,NA,2575510,94.0,94.0,78%,8e-23,27.27,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_114993441.1?report=genbank&log$=prottop&blast_rank=96&RID=2AYZ3C4E016"",""WP_114993441.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. A18-25c],Synechococcus sp. A18-25c,NA,1866938,93.7,93.7,86%,8e-23,30.59,83,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186471018.1?report=genbank&log$=prottop&blast_rank=97&RID=2AYZ3C4E016"",""WP_186471018.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. A18-25c],Synechococcus sp. A18-25c,NA,1866938,94.0,94.0,87%,8e-23,30.23,91,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186470751.1?report=genbank&log$=prottop&blast_rank=98&RID=2AYZ3C4E016"",""WP_186470751.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. PROS-7-1],Synechococcus sp. PROS-7-1,NA,1442556,93.7,93.7,81%,9e-23,26.25,82,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186597816.1?report=genbank&log$=prottop&blast_rank=99&RID=2AYZ3C4E016"",""WP_186597816.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sphaeroides],Nostoc sphaeroides,NA,446679,94.8,94.8,97%,9e-23,36.36,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_118161655.1?report=genbank&log$=prottop&blast_rank=100&RID=2AYZ3C4E016"",""WP_118161655.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. A18-25c],Synechococcus sp. A18-25c,NA,1866938,93.7,93.7,89%,9e-23,29.55,82,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186470429.1?report=genbank&log$=prottop&blast_rank=101&RID=2AYZ3C4E016"",""WP_186470429.1"")"
Nif11-like leader peptide family RiPP precursor [Calothrix sp. NIES-2098],Calothrix sp. NIES-2098,NA,1954171,94.4,94.4,98%,9e-23,28.71,105,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096589590.1?report=genbank&log$=prottop&blast_rank=102&RID=2AYZ3C4E016"",""WP_096589590.1"")"
Nif11-like leader peptide family RiPP precursor [Nodularia sp. NIES-3585],Nodularia sp. NIES-3585,NA,1973477,94.4,94.4,98%,1e-22,34.65,111,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_089092089.1?report=genbank&log$=prottop&blast_rank=103&RID=2AYZ3C4E016"",""WP_089092089.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. A18-25c],Synechococcus sp. A18-25c,NA,1866938,93.7,93.7,92%,1e-22,30.77,88,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186468841.1?report=genbank&log$=prottop&blast_rank=104&RID=2AYZ3C4E016"",""WP_186468841.1"")"
Nif11-like leader peptide family natural product precursor [Tolypothrix sp. T3-bin4],Tolypothrix sp. T3-bin4,NA,2768888,94.8,94.8,98%,1e-22,33.64,116,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD0301454.1?report=genbank&log$=prottop&blast_rank=105&RID=2AYZ3C4E016"",""MBD0301454.1"")"
Nif11-like leader peptide family natural product precursor [Microcystis novacekii Mn_MB_F_20050700_S1D],Microcystis novacekii Mn_MB_F_20050700_S1D,NA,2486266,94.8,94.8,98%,1e-22,29.46,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TRU85125.1?report=genbank&log$=prottop&blast_rank=106&RID=2AYZ3C4E016"",""TRU85125.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. MIT S9508],Synechococcus sp. MIT S9508,NA,1801629,93.7,93.7,84%,1e-22,26.51,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_067094422.1?report=genbank&log$=prottop&blast_rank=107&RID=2AYZ3C4E016"",""WP_067094422.1"")"
Nif11-type precursor [[Tolypothrix] sp. PCC 7415],[Tolypothrix] sp. PCC 7415,NA,373957,94.4,94.4,98%,1e-22,27.72,105,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AVH79463.1?report=genbank&log$=prottop&blast_rank=108&RID=2AYZ3C4E016"",""AVH79463.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,93.3,93.3,93%,1e-22,27.17,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186537687.1?report=genbank&log$=prottop&blast_rank=109&RID=2AYZ3C4E016"",""WP_186537687.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sp. RF31YmG],Nostoc sp. RF31YmG,NA,1932668,94.0,94.0,98%,1e-22,28.71,105,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_086834627.1?report=genbank&log$=prottop&blast_rank=110&RID=2AYZ3C4E016"",""WP_086834627.1"")"
Nif11-like leader peptide family RiPP precursor [Moorea producens],Moorea producens,NA,1155739,94.4,94.4,98%,1e-22,31.82,119,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_070390933.1?report=genbank&log$=prottop&blast_rank=111&RID=2AYZ3C4E016"",""WP_070390933.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. MIT S9504],Synechococcus sp. MIT S9504,NA,1801628,94.0,94.0,95%,1e-22,24.49,105,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_082823448.1?report=genbank&log$=prottop&blast_rank=112&RID=2AYZ3C4E016"",""WP_082823448.1"")"
Nif11-type precursor [Nostoc sp. PCC 9448],Nostoc sp. PCC 9448,NA,2099384,94.0,94.0,98%,1e-22,32.08,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AVH79562.1?report=genbank&log$=prottop&blast_rank=113&RID=2AYZ3C4E016"",""AVH79562.1"")"
"bacteriocin propeptide, TIGR03798 family protein [Aphanizomenon flos-aquae MDT14a]",Aphanizomenon flos-aquae MDT14a,NA,1710895,94.4,94.4,98%,1e-22,27.72,116,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OBQ29606.1?report=genbank&log$=prottop&blast_rank=114&RID=2AYZ3C4E016"",""OBQ29606.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. MIT S9508],Synechococcus sp. MIT S9508,NA,1801629,93.3,93.3,92%,1e-22,25.27,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_067096498.1?report=genbank&log$=prottop&blast_rank=115&RID=2AYZ3C4E016"",""WP_067096498.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Nostoc],unclassified Nostoc,NA,2593658,94.4,94.4,98%,1e-22,33.04,119,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190709235.1?report=genbank&log$=prottop&blast_rank=116&RID=2AYZ3C4E016"",""WP_190709235.1"")"
Nif11-like leader peptide family natural product precursor [Dolichospermum sp.],Dolichospermum sp.,NA,2720786,94.4,94.4,98%,1e-22,31.53,118,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBJ7297830.1?report=genbank&log$=prottop&blast_rank=117&RID=2AYZ3C4E016"",""MBJ7297830.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,92.9,92.9,89%,2e-22,24.73,85,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186539654.1?report=genbank&log$=prottop&blast_rank=118&RID=2AYZ3C4E016"",""WP_186539654.1"")"
Nif11-like leader peptide family RiPP precursor [Microcystis aeruginosa],Microcystis aeruginosa,NA,1126,93.7,93.7,100%,2e-22,33.33,101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_193956049.1?report=genbank&log$=prottop&blast_rank=119&RID=2AYZ3C4E016"",""WP_193956049.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. UW105],Synechococcus sp. UW105,NA,337067,92.9,92.9,77%,2e-22,28.95,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_115118819.1?report=genbank&log$=prottop&blast_rank=120&RID=2AYZ3C4E016"",""WP_115118819.1"")"
Nif11-like leader peptide family RiPP precursor [Microcystis aeruginosa],Microcystis aeruginosa,NA,1126,93.3,93.3,100%,2e-22,30.39,102,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_185237346.1?report=genbank&log$=prottop&blast_rank=121&RID=2AYZ3C4E016"",""WP_185237346.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. A15-60],Synechococcus sp. A15-60,NA,1050655,92.9,92.9,92%,2e-22,28.57,88,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186501618.1?report=genbank&log$=prottop&blast_rank=122&RID=2AYZ3C4E016"",""WP_186501618.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,92.9,92.9,89%,2e-22,23.86,79,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186537679.1?report=genbank&log$=prottop&blast_rank=123&RID=2AYZ3C4E016"",""WP_186537679.1"")"
Nif11-like leader peptide family RiPP precursor [Anabaena sp. WA102],Anabaena sp. WA102,NA,1647413,93.7,93.7,88%,2e-22,32.99,114,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_053540799.1?report=genbank&log$=prottop&blast_rank=124&RID=2AYZ3C4E016"",""WP_053540799.1"")"
Nif11-type precursor [Microcystis sp. PCC 9624],Microcystis sp. PCC 9624,NA,2099380,92.9,92.9,100%,3e-22,31.37,99,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AVH79677.1?report=genbank&log$=prottop&blast_rank=125&RID=2AYZ3C4E016"",""AVH79677.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. MIT S9508],Synechococcus sp. MIT S9508,NA,1801629,92.5,92.5,77%,3e-22,27.63,79,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_067098171.1?report=genbank&log$=prottop&blast_rank=126&RID=2AYZ3C4E016"",""WP_067098171.1"")"
Nif11-like leader peptide family RiPP precursor [Pleurocapsa sp. PCC 7319],Pleurocapsa sp. PCC 7319,NA,118161,92.9,92.9,100%,3e-22,100.00,98,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_019503882.1?report=genbank&log$=prottop&blast_rank=127&RID=2AYZ3C4E016"",""WP_019503882.1"")"
Nif11-like leader peptide family RiPP precursor [Brasilonema sp. UFV-L1],Brasilonema sp. UFV-L1,NA,2234130,93.7,93.7,98%,3e-22,36.84,122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_169216952.1?report=genbank&log$=prottop&blast_rank=128&RID=2AYZ3C4E016"",""WP_169216952.1"")"
Nif11-like leader peptide family RiPP precursor [Aphanizomenon flos-aquae],Aphanizomenon flos-aquae,NA,1176,93.7,93.7,98%,3e-22,30.56,115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190383274.1?report=genbank&log$=prottop&blast_rank=129&RID=2AYZ3C4E016"",""WP_190383274.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. MIT S9509],Synechococcus sp. MIT S9509,NA,1801630,92.9,92.9,83%,3e-22,26.83,90,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_074159268.1?report=genbank&log$=prottop&blast_rank=130&RID=2AYZ3C4E016"",""WP_074159268.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,92.5,92.5,82%,3e-22,28.40,82,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186540171.1?report=genbank&log$=prottop&blast_rank=131&RID=2AYZ3C4E016"",""WP_186540171.1"")"
Nif11-like leader peptide family RiPP precursor [Microcystis aeruginosa],Microcystis aeruginosa,NA,1126,93.7,93.7,98%,3e-22,32.43,120,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_002768131.1?report=genbank&log$=prottop&blast_rank=132&RID=2AYZ3C4E016"",""WP_002768131.1"")"
Nif11-like leader peptide family natural product precursor [Microcystis aeruginosa G13-01],Microcystis aeruginosa G13-01,NA,2685959,93.7,93.7,98%,3e-22,29.20,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NCT64324.1?report=genbank&log$=prottop&blast_rank=133&RID=2AYZ3C4E016"",""NCT64324.1"")"
Nif11-like leader peptide family RiPP precursor [Anabaena cylindrica],Anabaena cylindrica,NA,1165,93.3,93.3,98%,3e-22,33.96,111,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_015216091.1?report=genbank&log$=prottop&blast_rank=134&RID=2AYZ3C4E016"",""WP_015216091.1"")"
Nif11-like leader peptide family natural product precursor [Tolypothrix sp. T3-bin4],Tolypothrix sp. T3-bin4,NA,2768888,93.7,93.7,97%,3e-22,29.73,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD0301453.1?report=genbank&log$=prottop&blast_rank=135&RID=2AYZ3C4E016"",""MBD0301453.1"")"
Nif11-like leader peptide family natural product precursor [Moorea sp. SIO3G5],Moorea sp. SIO3G5,NA,2607837,93.3,93.3,98%,3e-22,30.00,113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NEO88918.1?report=genbank&log$=prottop&blast_rank=136&RID=2AYZ3C4E016"",""NEO88918.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. UW179A],Synechococcus sp. UW179A,NA,2575510,92.1,92.1,88%,3e-22,27.84,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_114992762.1?report=genbank&log$=prottop&blast_rank=137&RID=2AYZ3C4E016"",""WP_114992762.1"")"
Nif11-like leader peptide family RiPP precursor [Richelia sinica],Richelia sinica,NA,1357545,92.9,92.9,98%,4e-22,32.08,112,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190604124.1?report=genbank&log$=prottop&blast_rank=138&RID=2AYZ3C4E016"",""WP_190604124.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Synechococcus],unclassified Synechococcus,NA,2626047,92.1,92.1,91%,4e-22,27.66,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_066907329.1?report=genbank&log$=prottop&blast_rank=139&RID=2AYZ3C4E016"",""WP_066907329.1"")"
Nif11-like leader peptide family RiPP precursor [Nodularia sp. LEGE 06071],Nodularia sp. LEGE 06071,NA,2777965,92.9,92.9,87%,4e-22,36.67,105,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_193996853.1?report=genbank&log$=prottop&blast_rank=140&RID=2AYZ3C4E016"",""WP_193996853.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. MIT S9509],Synechococcus sp. MIT S9509,NA,1801630,92.9,92.9,95%,4e-22,24.49,105,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_082826402.1?report=genbank&log$=prottop&blast_rank=141&RID=2AYZ3C4E016"",""WP_082826402.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. MIT S9508],Synechococcus sp. MIT S9508,NA,1801629,92.1,92.1,89%,4e-22,27.27,82,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_067096471.1?report=genbank&log$=prottop&blast_rank=142&RID=2AYZ3C4E016"",""WP_067096471.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sp. 106C],Nostoc sp. 106C,NA,1932667,92.5,92.5,98%,5e-22,27.72,105,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_086760938.1?report=genbank&log$=prottop&blast_rank=143&RID=2AYZ3C4E016"",""WP_086760938.1"")"
Nif11-like leader peptide family RiPP precursor [Brasilonema sp. UFV-L1],Brasilonema sp. UFV-L1,NA,2234130,92.5,92.5,100%,5e-22,40.00,97,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_169218712.1?report=genbank&log$=prottop&blast_rank=144&RID=2AYZ3C4E016"",""WP_169218712.1"")"
Nif11-like leader peptide family RiPP precursor [Aphanothece sacrum],Aphanothece sacrum,NA,1122,92.9,92.9,98%,5e-22,31.78,113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_124970200.1?report=genbank&log$=prottop&blast_rank=145&RID=2AYZ3C4E016"",""WP_124970200.1"")"
Nif11-like leader peptide family natural product precursor [Moorea sp. SIOASIH],Moorea sp. SIOASIH,NA,2607817,92.9,92.9,98%,5e-22,30.00,113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NEO35810.1?report=genbank&log$=prottop&blast_rank=146&RID=2AYZ3C4E016"",""NEO35810.1"")"
Nif11-like leader peptide family RiPP precursor [Scytonema hofmannii],Scytonema hofmannii,NA,34078,92.1,92.1,96%,5e-22,50.52,97,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_017740071.1?report=genbank&log$=prottop&blast_rank=147&RID=2AYZ3C4E016"",""WP_017740071.1"")"
Nif11-like leader peptide family RiPP precursor [Scytonema hofmannii],Scytonema hofmannii,NA,34078,92.1,92.1,100%,6e-22,40.82,97,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_017740072.1?report=genbank&log$=prottop&blast_rank=148&RID=2AYZ3C4E016"",""WP_017740072.1"")"
Nif11-like leader peptide family natural product precursor [Microcystis aeruginosa G13-12],Microcystis aeruginosa G13-12,NA,2685966,92.9,92.9,98%,6e-22,29.20,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NCS16873.1?report=genbank&log$=prottop&blast_rank=149&RID=2AYZ3C4E016"",""NCS16873.1"")"
Nif11-like leader peptide family natural product precursor [Richelia sp. SM2_1_7],Richelia sp. SM2_1_7,NA,2720465,92.9,92.9,98%,6e-22,30.97,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NJL80350.1?report=genbank&log$=prottop&blast_rank=150&RID=2AYZ3C4E016"",""NJL80350.1"")"
Nif11-like leader peptide family natural product precursor [Microcystis aeruginosa L111-01],Microcystis aeruginosa L111-01,NA,2685971,92.9,92.9,98%,6e-22,29.20,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NCR23603.1?report=genbank&log$=prottop&blast_rank=151&RID=2AYZ3C4E016"",""NCR23603.1"")"
hypothetical protein [Synechococcus sp. EAC657],Synechococcus sp. EAC657,NA,2024881,92.5,92.5,78%,6e-22,31.17,113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MAN20103.1?report=genbank&log$=prottop&blast_rank=152&RID=2AYZ3C4E016"",""MAN20103.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. UW179A],Synechococcus sp. UW179A,NA,2575510,91.4,91.4,84%,7e-22,25.30,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_114992743.1?report=genbank&log$=prottop&blast_rank=153&RID=2AYZ3C4E016"",""WP_114992743.1"")"
Nif11-like leader peptide family natural product precursor [Nostoc sp. HG1],Nostoc sp. HG1,NA,2593659,91.7,91.7,88%,8e-22,50.00,93,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBC6430120.1?report=genbank&log$=prottop&blast_rank=154&RID=2AYZ3C4E016"",""MBC6430120.1"")"
hypothetical protein [Synechococcus sp. EAC657],Synechococcus sp. EAC657,NA,2024881,91.4,91.4,87%,9e-22,31.40,91,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MAN19607.1?report=genbank&log$=prottop&blast_rank=155&RID=2AYZ3C4E016"",""MAN19607.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. UW179A],Synechococcus sp. UW179A,NA,2575510,91.4,91.4,81%,9e-22,32.50,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_114993687.1?report=genbank&log$=prottop&blast_rank=156&RID=2AYZ3C4E016"",""WP_114993687.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. A15-60],Synechococcus sp. A15-60,NA,1050655,91.0,91.0,89%,1e-21,28.41,82,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186501153.1?report=genbank&log$=prottop&blast_rank=157&RID=2AYZ3C4E016"",""WP_186501153.1"")"
Nif11-like leader peptide family natural product precursor [Deltaproteobacteria bacterium],Deltaproteobacteria bacterium,NA,2026735,91.4,91.4,89%,1e-21,36.36,96,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RJR43259.1?report=genbank&log$=prottop&blast_rank=158&RID=2AYZ3C4E016"",""RJR43259.1"")"
